name,BHR,ITA,PRT,ESP,MCO,AZE,FRA,AUT,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,SIN,TUR,JPN,USA,MEX,BRA,AUS,SAU,ARE
Max Verstappen,18,43,61,80,105,105,131,156,182,,,,,,,,,,,,,,,
Lewis Hamilton,25,44,69,94,101,101,119,138,150,,,,,,,,,,,,,,,
Sergio Perez,10,10,22,32,44,69,84,96,104,,,,,,,,,,,,,,,
Lando Norris,12,27,37,41,56,66,76,86,101,,,,,,,,,,,,,,,
Valtteri Bottas,16,16,32,47,47,47,59,74,92,,,,,,,,,,,,,,,
Charles Leclerc,8,20,28,40,40,52,52,58,62,,,,,,,,,,,,,,,
Carlos Sainz Jr,4,14,14,20,38,42,42,50,60,,,,,,,,,,,,,,,
Daniel Ricciardo,6,14,16,24,24,26,34,34,40,,,,,,,,,,,,,,,
Pierre Gasly,0,6,7,8,16,31,37,37,39,,,,,,,,,,,,,,,
Sebastian Vettel,0,0,0,0,10,28,30,30,30,,,,,,,,,,,,,,,
Fernando Alonso,0,1,5,5,5,13,17,19,20,,,,,,,,,,,,,,,
Lance Stroll,1,5,5,5,9,9,10,14,14,,,,,,,,,,,,,,,
Esteban Ocon,0,2,8,10,12,12,12,12,12,,,,,,,,,,,,,,,
Yuki Tsunoda,2,2,2,2,2,8,8,9,9,,,,,,,,,,,,,,,
Kimi Raikkonen,0,0,0,0,0,1,1,1,1,,,,,,,,,,,,,,,
Antonio Giovinazzi,0,0,0,0,1,1,1,1,1,,,,,,,,,,,,,,,
George Russell,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Mick Schumacher,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Nikita Mazepin,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
Nicholas Latifi,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
