name,BHR,ITA,PRT,ESP,MCO,AZE,FRA,AUT,AUT2,GBR,HUN,BEL,NED,ITA2,RUS,#REF!,TUR,#REF!,USA,MEX,BRA,AUS,SAU,ARE
Hamilton,25,44,69,94,101,101,119,138,150,177,195,202.5,,,,#REF!,,#REF!,,,,,,
Verstappen,18,43,61,80,105,105,131,156,182,185,187,199.5,,,,#REF!,,#REF!,,,,,,
Norris,12,27,37,41,56,66,76,86,101,113,113,113,,,,#REF!,,#REF!,,,,,,
Bottas,16,16,32,47,47,47,59,74,92,108,108,108,,,,#REF!,,#REF!,,,,,,
Pérez,10,10,22,32,44,69,84,96,104,104,104,104,,,,#REF!,,#REF!,,,,,,
Sainz,4,14,14,20,38,42,42,50,60,68,83,83.5,,,,#REF!,,#REF!,,,,,,
Leclerc,8,20,28,40,40,52,52,58,62,80,80,82,,,,#REF!,,#REF!,,,,,,
Ricciardo,6,14,16,24,24,26,34,34,40,50,50,56,,,,#REF!,,#REF!,,,,,,
Gasly,0,6,7,8,16,31,37,37,39,39,50,54,,,,#REF!,,#REF!,,,,,,
Ocon,0,2,8,10,12,12,12,12,12,14,39,42,,,,#REF!,,#REF!,,,,,,
Alonso,0,1,5,5,5,13,17,19,20,26,38,38,,,,#REF!,,#REF!,,,,,,
Vettel,0,0,0,0,10,28,30,30,30,30,30,35,,,,#REF!,,#REF!,,,,,,
Tsunoda,2,2,2,2,2,8,8,9,9,10,18,18,,,,#REF!,,#REF!,,,,,,
Stroll,1,5,5,5,9,9,10,14,14,18,18,18,,,,#REF!,,#REF!,,,,,,
Russell,0,0,0,0,0,0,0,0,0,0,4,13,,,,#REF!,,#REF!,,,,,,
Latifi,0,0,0,0,0,0,0,0,0,0,6,7,,,,#REF!,,#REF!,,,,,,
Räikkönen,0,0,0,0,0,1,1,1,1,1,2,2,,,,#REF!,,#REF!,,,,,,
Giovinazzi,0,0,0,0,1,1,1,1,1,1,1,1,,,,#REF!,,#REF!,,,,,,
Schumacher,0,0,0,0,0,0,0,0,0,0,0,0,,,,#REF!,,#REF!,,,,,,
Mazepin,0,0,0,0,0,0,0,0,0,0,0,0,,,,#REF!,,#REF!,,,,,,
